Medicine_ID,Generic_Name,Brand_Name,Therapeutic_Class,Dosage_Form,Strength,Unit_Price_INR,Sample_Eligible,Dataset_Type
MED001,Atorvastatin,Newstat,Lipid Lowering,Tablet,10 mg,120,True,Synthetic master; real generic names; synthetic brand labels/prices
MED109,Terbinafine,Terbi,Dermatology / Allergy,Cream,1%,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED110,Tacrolimus,Tacro,Dermatology / Allergy,Ointment,0.1%,240,True,Synthetic master; real generic names; synthetic brand labels/prices
MED111,Tamsulosin,Tamsu,Urology,Capsule,0.4 mg,110,True,Synthetic master; real generic names; synthetic brand labels/prices
MED112,Tamsulosin,Tamsu,Urology,Capsule,0.2 mg,90,True,Synthetic master; real generic names; synthetic brand labels/prices
MED113,Finasteride,Fina,Urology,Tablet,5 mg,95,True,Synthetic master; real generic names; synthetic brand labels/prices
MED114,Dutasteride,Duta,Urology,Capsule,0.5 mg,130,True,Synthetic master; real generic names; synthetic brand labels/prices
MED115,Silodosin,Silo,Urology,Capsule,8 mg,150,True,Synthetic master; real generic names; synthetic brand labels/prices
MED116,Alfuzosin,Alfu,Urology,Tablet,10 mg,125,True,Synthetic master; real generic names; synthetic brand labels/prices
MED117,Solifenacin,Soli,Urology,Tablet,5 mg,140,True,Synthetic master; real generic names; synthetic brand labels/prices
MED118,Solifenacin,Soli,Urology,Tablet,10 mg,190,True,Synthetic master; real generic names; synthetic brand labels/prices
MED119,Mirabegron,Mira,Urology,Tablet,25 mg,180,True,Synthetic master; real generic names; synthetic brand labels/prices
MED120,Mirabegron,Mira,Urology,Tablet,50 mg,250,True,Synthetic master; real generic names; synthetic brand labels/prices
